49 ,2024-10-18-19:49:32, source /opt/conda/bin/activate
50 ,2024-10-18-19:49:45, gh auth login
51 ,2024-10-18-19:52:53, git clone git@github.com:sabaapasha/ds105a-w04-exercise.git
52 ,2024-10-18-19:53:24, ls
53 ,2024-10-18-19:53:32, cd ds105a-w04-exercise
54 ,2024-10-18-19:53:42, git config --global core.editor "nano"
55 ,2024-10-18-19:54:02, git config --global core.editor "nano"
56 ,2024-10-18-19:54:28, ls
57 ,2024-10-18-19:55:49, cd ..
58 ,2024-10-18-19:55:57, rmdir ds105a-w04-exercise
59 ,2024-10-18-19:56:19, gh auth login
60 ,2024-10-18-19:57:45, git clone git@github.com:sabaapasha/ds105a-w04-exercise.git
61 ,2024-10-18-19:58:12, cd ds105a-w04-exercise
62 ,2024-10-18-19:58:14, ls
63 ,2024-10-18-19:58:43, mkdir figures
64 ,2024-10-18-19:58:45, cd figures
65 ,2024-10-18-20:05:13, curl https://turkishporter.com/content/images/thumbs/0003352_antepliler-fresh-havuc-dilimi-baklava_550.png > image.png
66 ,2024-10-18-20:05:17, ls
67 ,2024-10-18-20:05:39, cd ..
68 ,2024-10-18-20:05:43, status
69 ,2024-10-18-20:05:49, git status
70 ,2024-10-18-20:06:06, git add figures/image.png
71 ,2024-10-18-20:06:17, git status
72 ,2024-10-18-20:36:00, git commit -m "Add a figure that represents me"
73 ,2024-10-18-20:36:06, git push
74 ,2024-10-18-20:37:29, rmdir image.png
75 ,2024-10-18-20:37:48, rm image.png
76 ,2024-10-18-20:37:57, cd figures
77 ,2024-10-18-20:38:02, rm image.png
78 ,2024-10-18-20:40:00, curl https://en.wikipedia.org/wiki/Badminton#/media/File:Olympics_2012_Mixed_Doubles_Final.jpg > image.jpg
79 ,2024-10-18-20:40:02, ls
80 ,2024-10-18-20:40:26, cd ..
81 ,2024-10-18-20:40:27, git status
82 ,2024-10-18-20:40:38, git add figures/image.jpg
83 ,2024-10-18-20:40:43, git status
84 ,2024-10-18-20:41:37, git rm figures/image.png
85 ,2024-10-18-20:41:47, git status
86 ,2024-10-18-20:42:06, git commit -m "Add a figure that represents me"
87 ,2024-10-18-20:42:18, git status
88 ,2024-10-18-20:42:25, git push
89 ,2024-10-18-20:43:57, cd figures
90 ,2024-10-18-20:44:20, curl https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Olympics_2012_Mixed_Doubles_Final.jpg/1920px-Olympics_2012_Mixed_Doubles_Final.jpg > my_image.jpg
91 ,2024-10-18-20:44:38, cd ..
92 ,2024-10-18-20:44:43, git status
93 ,2024-10-18-20:45:08, cd figures
94 ,2024-10-18-20:45:08, ls
95 ,2024-10-18-20:45:13, rm image.jpg
96 ,2024-10-18-20:45:17, cd ..
97 ,2024-10-18-20:45:19, git status
98 ,2024-10-18-20:45:58, git rm figures/image.jpg
99 ,2024-10-18-20:46:05, git add figures/my_image.jpg
100 ,2024-10-18-20:46:08, git status
101 ,2024-10-18-20:46:10, git push
102 ,2024-10-18-20:47:21, git commit -m "Add a figure that represents me"
103 ,2024-10-18-20:47:35, git status
104 ,2024-10-18-20:47:43, git push
105 ,2024-10-18-20:51:30, print-history > bash_history.csv
